car_ID,CarManufacturer,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,price (USD)
1,alfa-romero,giulia,1,1,1,1,3,1,1,3,130,6,111,13495
2,alfa-romero,stelvio,1,1,1,1,3,1,1,3,130,6,111,16500
3,alfa-romero,Quadrifoglio,1,1,1,2,3,1,6,5,152,6,154,16500
4,audi,100 ls,1,1,2,3,2,1,4,3,109,6,102,13950
5,audi,100ls,1,1,2,3,1,1,4,4,136,6,115,17450
6,audi,fox,1,1,1,3,2,1,4,4,136,6,110,15250
7,audi,100ls,1,1,2,3,2,1,4,4,136,6,110,17710
8,audi,5000,1,1,2,4,2,1,4,4,136,6,110,18920
9,audi,4000,1,2,2,3,2,1,4,4,131,6,140,23875
10,audi,5000s (diesel),1,2,1,2,1,1,4,4,131,6,160,17859.17
11,bmw,320i,1,1,1,3,3,1,4,3,108,6,101,16430
12,bmw,320i,1,1,2,3,3,1,4,3,108,6,101,16925
13,bmw,x1,1,1,1,3,3,1,4,5,164,6,121,20970
14,bmw,x3,1,1,2,3,3,1,4,5,164,6,121,21105
15,bmw,z4,1,1,2,3,3,1,4,5,164,6,121,24565
16,bmw,x4,1,1,2,3,3,1,4,5,209,6,182,30760
17,bmw,x5,1,1,1,3,3,1,4,5,209,6,182,41315
18,bmw,x3,1,1,2,3,3,1,4,5,209,6,182,36880
19,chevrolet,impala,1,1,1,2,2,1,3,2,61,2,48,5151
20,chevrolet,monte carlo,1,1,1,2,2,1,4,3,90,2,70,6295
21,chevrolet,vega 2300,1,1,2,3,2,1,4,3,90,2,70,6575
22,dodge,rampage,1,1,1,2,2,1,4,3,90,2,68,5572
23,dodge,challenger se,1,1,1,2,2,1,4,3,90,2,68,6377
24,dodge,d200,1,2,1,2,2,1,4,3,98,6,102,7957
25,dodge,monaco (sw),1,1,2,2,2,1,4,3,90,2,68,6229
26,dodge,colt hardtop,1,1,2,3,2,1,4,3,90,2,68,6692
27,dodge,colt (sw),1,1,2,3,2,1,4,3,90,2,68,7609
28,dodge,coronet custom,1,2,1,3,2,1,4,3,98,6,102,8558
29,dodge,dart custom,1,1,2,4,2,1,4,3,122,2,88,8921
30,dodge,coronet custom (sw),1,2,1,2,2,1,4,3,156,5,145,12964
31,honda,civic,1,1,1,2,2,1,4,3,92,1,58,6479
32,honda,civic cvcc,1,1,1,2,2,1,4,3,92,1,76,6855
33,honda,civic,1,1,1,2,2,1,4,3,79,1,60,5399
34,honda,accord cvcc,1,1,1,2,2,1,4,3,92,1,76,6529
35,honda,civic cvcc,1,1,1,2,2,1,4,3,92,1,76,7129
36,honda,accord lx,1,1,2,3,2,1,4,3,92,1,76,7295
37,honda,civic 1500 gl,1,1,2,4,2,1,4,3,92,1,76,7295
38,honda,accord,1,1,1,2,2,1,4,3,110,1,86,7895
39,honda,civic 1300,1,1,1,2,2,1,4,3,110,1,86,9095
40,honda,prelude,1,1,2,3,2,1,4,3,110,1,86,8845
41,honda,accord,1,1,2,3,2,1,4,3,110,1,86,10295
42,honda,civic,1,1,2,3,2,1,4,3,110,6,101,12945
43,honda,civic (auto),1,1,1,3,2,1,4,3,110,2,100,10345
44,isuzu,MU-X,1,1,2,3,3,1,4,3,111,2,78,6785
45,isuzu,D-Max,1,1,1,3,2,1,4,3,90,2,70,8916.5
46,isuzu,D-Max V-Cross,1,1,2,3,2,1,4,3,90,2,70,8916.5
47,isuzu,D-Max,1,1,1,2,3,1,4,3,119,8,90,11048
48,jaguar,xj,1,1,2,3,3,1,1,5,258,6,176,32250
49,jaguar,xf,1,1,2,3,3,1,1,5,258,6,176,35550
50,jaguar,xk,1,1,1,3,3,1,6,7,326,6,262,36000
51,mazda,rx3,1,1,1,2,2,1,4,3,91,2,68,5195
52,mazda,glc deluxe,1,1,1,2,2,1,4,3,91,2,68,6095
53,mazda,rx2 coupe,1,1,1,2,2,1,4,3,91,2,68,6795
54,mazda,rx-4,1,1,2,3,2,1,4,3,91,2,68,6695
55,mazda,glc deluxe,1,1,2,3,2,1,4,3,91,2,68,7395
56,mazda,626,1,1,1,2,3,1,7,1,70,3,101,10945
57,mazda,glc,1,1,1,2,3,1,7,1,70,3,101,11845
58,mazda,rx-7 gs,1,1,1,2,3,1,7,1,70,3,101,13645
59,mazda,glc 4,1,1,1,2,3,1,7,1,80,6,135,15645
60,mazda,626,1,1,1,2,2,1,4,3,122,2,84,8845
61,mazda,glc custom l,1,1,2,3,2,1,4,3,122,2,84,8495
62,mazda,glc custom,1,1,1,2,2,1,4,3,122,2,84,10595
63,mazda,rx-4,1,1,2,3,2,1,4,3,122,2,84,10245
64,mazda,glc deluxe,2,1,2,3,2,1,4,3,122,4,64,10795
65,mazda,626,1,1,2,2,2,1,4,3,122,2,84,11245
66,mazda,glc,1,1,2,3,3,1,4,3,140,6,120,18280
67,mazda,rx-7 gs,2,1,2,3,3,1,4,3,134,4,72,18344
68,buick,electra 225 custom,2,2,2,3,3,1,4,4,183,4,123,25552
69,buick,century luxus (sw),2,2,2,4,3,1,4,4,183,4,123,28248
70,buick,century,2,2,1,5,3,1,4,4,183,4,123,28176
71,buick,skyhawk,2,2,2,3,3,1,4,4,183,4,123,31600
72,buick,opel isuzu deluxe,1,1,2,3,3,1,6,6,234,6,155,34184
73,buick,skylark,1,1,1,1,3,1,6,6,234,6,155,35056
74,buick,century special,1,1,2,3,3,1,6,6,308,6,184,40960
75,buick,regal sport coupe (turbo),1,1,1,5,3,1,6,6,304,6,184,45400
76,mercury,cougar,1,2,1,2,3,1,4,3,140,6,175,16503
77,mitsubishi,mirage,1,1,1,2,2,1,4,3,92,2,68,5389
78,mitsubishi,lancer,1,1,1,2,2,1,4,3,92,2,68,6189
79,mitsubishi,outlander,1,1,1,2,2,1,4,3,92,2,68,6669
80,mitsubishi,g4,1,2,1,2,2,1,4,3,98,7,102,7689
81,mitsubishi,mirage g4,1,2,1,2,2,1,4,3,110,7,116,9959
82,mitsubishi,g4,1,1,1,2,2,1,4,3,122,2,88,8499
83,mitsubishi,outlander,1,2,1,2,2,1,4,3,156,7,145,12629
84,mitsubishi,g4,1,2,1,2,2,1,4,3,156,7,145,14869
85,mitsubishi,mirage g4,1,2,1,2,2,1,4,3,156,7,145,14489
86,mitsubishi,montero,1,1,2,3,2,1,4,3,122,2,88,6989
87,mitsubishi,pajero,1,1,2,3,2,1,4,3,122,2,88,8189
88,mitsubishi,outlander,1,2,2,3,2,1,4,3,110,7,116,9279
89,mitsubishi,mirage g4,1,1,2,3,2,1,4,3,110,7,116,9279
90,Nissan,versa,1,1,1,3,2,1,4,3,97,2,69,5499
91,nissan,gt-r,2,1,1,3,2,1,4,3,103,4,55,7099
92,nissan,rogue,1,1,1,3,2,1,4,3,97,2,69,6649
93,nissan,latio,1,1,2,3,2,1,4,3,97,2,69,6849
94,nissan,titan,1,1,2,4,2,1,4,3,97,2,69,7349
95,nissan,leaf,1,1,1,3,2,1,4,3,97,2,69,7299
96,nissan,juke,1,1,1,2,2,1,4,3,97,2,69,7799
97,nissan,latio,1,1,2,3,2,1,4,3,97,2,69,7499
98,nissan,note,1,1,2,4,2,1,4,3,97,2,69,7999
99,nissan,clipper,1,1,1,5,2,1,4,3,97,2,69,8249
100,nissan,rogue,1,1,2,2,2,1,4,3,120,2,97,8949
101,nissan,nv200,1,1,2,3,2,1,4,3,120,2,97,9549
102,nissan,dayz,1,1,2,3,2,1,6,5,181,6,152,13499
103,nissan,fuga,1,1,2,4,2,1,6,5,181,6,152,14399
104,nissan,otti,1,1,2,3,2,1,6,5,181,6,152,13499
105,nissan,teana,1,1,1,2,3,1,6,5,181,6,160,17199
106,nissan,kicks,1,2,1,2,3,1,6,5,181,6,200,19699
107,nissan,clipper,1,1,1,2,3,1,6,5,181,6,160,18399
108,peugeot,504,1,1,2,3,3,1,3,3,120,6,97,11900
109,peugeot,304,2,2,2,3,3,1,3,3,152,4,95,13200
110,peugeot,504 (sw),1,1,2,4,3,1,3,3,120,6,97,12440
111,peugeot,504,2,2,2,4,3,1,3,3,152,4,95,13860
112,peugeot,504,1,1,2,3,3,1,3,3,120,6,95,15580
113,peugeot,604sl,2,2,2,3,3,1,3,3,152,4,95,16900
114,peugeot,504,1,1,2,4,3,1,3,3,120,6,95,16695
115,peugeot,505s turbo diesel,2,2,2,4,3,1,3,3,152,4,95,17075
116,peugeot,504,1,1,2,3,3,1,3,3,120,6,97,16630
117,peugeot,504,2,2,2,3,3,1,3,3,152,4,95,17950
118,peugeot,604sl,1,2,2,3,3,1,3,3,134,6,142,18150
119,plymouth,fury iii,1,1,1,2,2,1,4,3,90,2,68,5572
120,plymouth,cricket,1,2,1,2,2,1,4,3,98,7,102,7957
121,plymouth,fury iii,1,1,2,2,2,1,4,3,90,2,68,6229
122,plymouth,satellite custom (sw),1,1,2,3,2,1,4,3,90,2,68,6692
123,plymouth,fury gran sedan,1,1,2,3,2,1,4,3,98,2,68,7609
124,plymouth,valiant,1,1,2,4,2,1,4,3,122,2,88,8921
125,plymouth,duster,1,2,1,2,3,1,4,3,156,7,145,12764
126,porsche,macan,1,1,1,2,3,1,4,3,151,6,143,22018
127,porsche,panamera,1,1,1,5,3,2,5,5,194,6,207,32528
128,porsche,cayenne,1,1,1,5,3,2,5,5,194,6,207,34028
129,porsche,boxter,1,1,1,1,3,2,5,5,194,6,207,37028
130,porsche,cayenne,1,1,1,2,3,1,2,6,203,6,288,31400.5
131,renault,12tl,1,1,2,4,2,1,4,3,132,6,90,9295
132,renault,5 gtl,1,1,1,2,2,1,4,3,132,6,90,9895
133,saab,99e,1,1,1,2,2,1,4,3,121,6,110,11850
134,saab,99le,1,1,2,3,2,1,4,3,121,6,110,12170
135,saab,99le,1,1,1,2,2,1,4,3,121,6,110,15040
136,saab,99gle,1,1,2,3,2,1,4,3,121,6,110,15510
137,saab,99gle,1,2,1,2,2,1,1,3,121,6,160,18150
138,saab,99e,1,2,2,3,2,1,1,3,121,6,160,18620
139,subaru,,1,1,1,2,2,1,5,3,97,2,69,5118
140,subaru,dl,1,1,1,2,2,1,5,3,108,2,73,7053
141,subaru,dl,1,1,1,2,1,1,5,3,108,2,73,7603
142,subaru,,1,1,2,3,2,1,5,3,108,2,82,7126
143,subaru,brz,1,1,2,3,2,1,5,3,108,2,82,7775
144,subaru,baja,1,1,2,3,2,1,5,3,108,6,94,9960
145,subaru,r1,1,1,2,3,1,1,5,3,108,2,82,9233
146,subaru,r2,1,2,2,3,1,1,5,3,108,6,111,11259
147,subaru,trezia,1,1,2,4,2,1,5,3,108,2,82,7463
148,subaru,tribeca,1,1,2,4,2,1,5,3,108,6,94,10198
149,subaru,dl,1,1,2,4,1,1,5,3,108,2,82,8013
150,subaru,dl,1,2,2,4,1,1,5,3,108,6,111,11694
151,toyota,corona mark ii,1,1,1,2,2,1,4,3,92,2,62,5348
152,toyota,corona,1,1,1,2,2,1,4,3,92,2,62,6338
153,toyota,corolla 1200,1,1,2,2,2,1,4,3,92,2,62,6488
154,toyota,corona hardtop,1,1,2,4,2,1,4,3,92,2,62,6918
155,toyota,corolla 1600 (sw),1,1,2,4,1,1,4,3,92,2,62,7898
156,toyota,carina,1,1,2,4,1,1,4,3,92,2,62,8778
157,toyota,mark ii,1,1,2,3,2,1,4,3,98,2,70,6938
158,toyota,corolla 1200,1,1,2,2,2,1,4,3,98,2,70,7198
159,toyota,corona,2,1,2,3,2,1,4,3,110,4,56,7898
160,toyota,corolla,2,1,2,2,2,1,4,3,110,4,56,7788
161,toyota,corona,1,1,2,3,2,1,4,3,98,2,70,7738
162,toyota,corolla,1,1,2,2,2,1,4,3,98,2,70,8358
163,toyota,mark ii,1,1,2,3,2,1,4,3,98,2,70,9258
164,toyota,corolla liftback,1,1,1,3,3,1,4,3,98,2,70,8058
165,toyota,corona,1,1,1,2,3,1,4,3,98,2,70,8238
166,toyota,celica gt liftback,1,1,1,3,3,1,1,3,98,6,112,9298
167,toyota,corolla tercel,1,1,1,2,3,1,1,3,98,6,112,9538
168,toyota,corona liftback,1,1,1,5,3,1,4,3,146,6,116,8449
169,toyota,corolla,1,1,1,5,3,1,4,3,146,6,116,9639
170,toyota,starlet,1,1,1,2,3,1,4,3,146,6,116,9989
171,toyota,tercel,1,1,1,5,3,1,4,3,146,6,116,11199
172,toyota,corolla,1,1,1,2,3,1,4,3,146,6,116,11549
173,toyota,cressida,1,1,1,1,3,1,4,3,146,6,116,17669
174,toyota,corolla,1,1,2,3,2,1,4,3,122,6,92,8948
175,toyota,celica gt,2,2,2,3,2,1,4,3,110,4,73,10698
176,toyota,corona,1,1,2,2,2,1,4,3,122,6,92,9988
177,toyota,corolla,1,1,2,3,2,1,4,3,122,6,92,10898
178,toyota,mark ii,1,1,2,2,2,1,4,3,122,6,92,11248
179,toyota,corolla liftback,1,1,1,2,3,1,1,5,171,6,161,16558
180,toyota,corona,1,1,1,2,3,1,1,5,171,6,161,15998
181,toyota,starlet,1,1,2,3,3,1,1,5,171,6,156,15690
182,toyota,tercel,1,1,2,4,3,1,1,5,161,6,156,15750
183,volkswagen,rabbit,2,1,1,3,2,1,4,3,97,4,52,7775
184,volkswagen,1131 deluxe sedan,1,1,1,3,2,1,4,3,109,6,85,7975
185,volkswagen,model 111,2,1,2,3,2,1,4,3,97,4,52,7995
186,volkswagen,type 3,1,1,2,3,2,1,4,3,109,6,85,8195
187,volkswagen,411 (sw),1,1,2,3,2,1,4,3,109,6,85,8495
188,volkswagen,super beetle,2,2,2,3,2,1,4,3,97,4,68,9495
189,volkswagen,dasher,1,1,2,3,2,1,4,3,109,6,100,9995
190,vw,dasher,1,1,1,1,2,1,4,3,109,6,90,11595
191,vw,rabbit,1,1,1,2,2,1,4,3,109,6,90,9980
192,volkswagen,rabbit,1,1,2,3,2,1,4,4,136,6,110,13295
193,volkswagen,rabbit custom,2,2,2,3,2,1,4,3,97,4,68,13845
194,volkswagen,dasher,1,1,2,4,2,1,4,3,109,6,88,12290
195,volvo,145e (sw),1,1,2,3,3,1,4,3,141,6,114,12940
196,volvo,144ea,1,1,2,4,3,1,4,3,141,6,114,13415
197,volvo,244dl,1,1,2,3,3,1,4,3,141,6,114,15985
198,volvo,245,1,1,2,4,3,1,4,3,141,6,114,16515
199,volvo,264gl,1,2,2,3,3,1,4,3,130,6,162,18420
200,volvo,diesel,1,2,2,4,3,1,4,3,130,6,162,18950
201,volvo,145e (sw),1,1,2,3,3,1,4,3,141,6,114,16845
202,volvo,144ea,1,2,2,3,3,1,4,3,141,6,160,19045
203,volvo,244dl,1,1,2,3,3,1,6,5,173,6,134,21485
204,volvo,246,2,2,2,3,3,1,4,5,145,4,106,22470
205,volvo,264gl,1,2,2,3,3,1,4,3,141,6,114,22625
